stage_plot,exp,score_label,term_name,go_id,score_z,score_raw
cTEC,isoControlBeg,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.498051049214062,0.241979936973577
Ccl21a-high,isoControlBeg,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.536757341863623,0.244289116070859
TAC-TEC,isoControlBeg,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.404844620465899,0.236419333715956
Aire-positive,isoControlBeg,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,-0.13165615863372,0.204412228411684
Late-Aire,isoControlBeg,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.177785718575006,0.222873224434828
Tuft,isoControlBeg,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,1.07171777547236,0.276204325888205
cTEC,isoControlEnd,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.310788099306158,0.230808014786717
Ccl21a-high,isoControlEnd,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.177222576852032,0.222839627957188
TAC-TEC,isoControlEnd,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.0487980301354163,0.2151779466502
Aire-positive,isoControlEnd,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,-0.686748781198702,0.171295952133616
Late-Aire,isoControlEnd,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,-0.325297821480533,0.192859758526303
Tuft,isoControlEnd,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.294943707622806,0.229862754066048
cTEC,isoControlBeg,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.211827083637208,0.315097644250778
Ccl21a-high,isoControlBeg,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.603910915943937,0.343131879810553
TAC-TEC,isoControlBeg,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.376774833176857,0.3268915099617
Aire-positive,isoControlBeg,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,-0.216434491840799,0.284476677766349
Late-Aire,isoControlBeg,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.432245223909385,0.330857677072544
Tuft,isoControlBeg,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.455347220425059,0.332509484055788
cTEC,isoControlEnd,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.18258522388428,0.313006833263504
Ccl21a-high,isoControlEnd,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.0942221233169283,0.306688817135363
TAC-TEC,isoControlEnd,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.0791754196434003,0.305612968552931
Aire-positive,isoControlEnd,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,-0.625951396889542,0.255195966765582
Late-Aire,isoControlEnd,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,-0.191719316495428,0.286243828029743
Tuft,isoControlEnd,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.0119017304768285,0.300802858332432
